Date,Inflation_Expectation_12M
2016-2,24.16
2016-3,23.5
2016-4,22.76
2016-5,22.34
2016-6,21.7
2016-7,23.03
2016-8,21.43
2016-9,16.92
2016-10,16.7
2016-11,19.82
2016-12,20.88
2017-1,22.2
2017-2,23.99
2017-3,20.94
2017-4,23.94
2017-5,22.73
2017-6,22.63
2017-7,21.67
2017-8,22.08
2017-9,22.79
2017-10,23.58
2017-11,24.82
2017-12,24.53
2018-1,23.01
2018-2,23.65
2018-3,23.24
2018-4,24.06
2018-5,27.1
2018-6,24.47
2018-7,29.64
2018-8,30.29
2018-9,37.34
2018-10,43.94
2018-11,41.71
2018-12,41.79
2019-1,40.63
2019-2,42.37
2019-3,44.46
2019-4,41.21
2019-5,45.78
2019-6,44.27
2019-7,43.27
2019-8,40.11
2019-9,40.62
2019-10,41.65
2019-11,39.65
2019-12,39.99
2020-1,38.36
2020-2,40.07
2020-3,40.32
2020-4,40.18
2020-5,39.02
2020-6,39.56
2020-7,39.61
2020-8,38.64
2020-9,40.05
2020-10,41.24
2020-11,43.4
2020-12,40.79
2021-1,41.22
2021-2,40.11
2021-3,39.23
2021-4,44.46
2021-5,44.31
2021-6,44.9
2021-7,45.81
2021-8,48.66
2021-9,47.41
2021-10,50.77
2021-11,52.15
2021-12,58.22
2022-1,58.32
2022-2,62.84
2022-3,65.65
2022-4,74.31
2022-5,76.85
2022-6,87.13
2022-7,84.18
2022-8,82.55
2022-9,82.06
2022-10,81.07
2022-11,84.83
2022-12,84.04
2023-1,80.6
2023-2,75.88
2023-3,78.76
2023-4,71.58
2023-5,68.78
2023-6,72.65
2023-7,74.53
2023-8,88.27
2023-9,80.94
2023-10,80.63
2023-11,78.74
2023-12,76.77
2024-1,75.29
2024-2,79.1
2024-3,80.01
2024-4,76.68
2024-5,76.09
2024-6,71.49
2024-7,71.98
2024-8,73.14
2024-9,71.56
2024-10,67.23
2024-11,64.05
2024-12,63.14
2025-1,58.82
2025-2,59.18
2025-3,59.25
2025-4,59.3
2025-5,59.86
2025-6,52.99
2025-7,54.53
2025-8,54.07
2025-9,52.99
2025-10,54.39
2025-11,52.24
2025-12,50.9
2026-1,52.08
