Date,Repo_1Day_Weighted_Average_Rate
2016-2,10.75
2016-3,10.7
2016-4,10.34
2016-5,9.86
2016-6,9.33
2016-7,8.88
2016-8,8.71
2016-9,8.42
2016-10,8.25
2016-11,8.3
2016-12,8.5
2017-1,8.67
2017-2,9.72
2017-3,10.8
2017-4,11.74
2017-5,12.17
2017-6,12.25
2017-7,12.25
2017-8,12.25
2017-9,12.25
2017-10,12.25
2017-11,12.25
2017-12,12.5
2018-1,12.75
2018-2,12.75
2018-3,12.75
2018-4,12.79
2018-5,14.29
2018-6,16.77
2018-7,19.25
2018-8,19.25
2018-9,19.83
2018-10,25.5
2018-11,
2018-12,25.5
2019-1,25.5
2019-2,
2019-3,25.5
2019-4,25.5
2019-5,25.5
2019-6,23.21
2019-7,22.48
2019-8,18.75
2019-9,16.96
2019-10,15.09
2019-11,13.0
2019-12,12.41
2020-1,10.65
2020-2,10.1
2020-3,9.25
2020-4,8.56
2020-5,7.7
2020-6,7.26
2020-7,7.29
2020-8,9.5
2020-9,10.08
2020-10,11.76
2020-11,14.71
2020-12,16.5
2021-1,
2021-2,18.5
2021-3,
2021-4,20.5
2021-5,
2021-6,20.5
2021-7,
2021-8,
2021-9,
2021-10,
2021-11,
2021-12,15.51
2022-1,
2022-2,
2022-3,
2022-4,15.5
2022-5,
2022-6,15.5
2022-7,15.5
2022-8,15.5
2022-9,
2022-10,13.5
2022-11,11.99
2022-12,10.5
2023-1,10.5
2023-2,
2023-3,10.0
2023-4,10.0
2023-5,10.0
2023-6,10.13
2023-7,16.5
2023-8,19.0
2023-9,26.5
2023-10,31.5
2023-11,40.88
2023-12,
2024-1,44.0
2024-2,46.5
2024-3,46.69
2024-4,53.0
2024-5,53.0
2024-6,53.0
2024-7,
2024-8,53.0
2024-9,53.0
2024-10,
2024-11,
2024-12,
2025-1,
2025-2,
2025-3,46.0
2025-4,46.56
2025-5,49.0
2025-6,49.0
